Source_File,Greek_Word
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 2 Excerpts.docx,Παράκλητος
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 2 Excerpts.docx,Σανδαλφών
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 2 Excerpts.docx,συνάδελφος
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 2 Excerpts.docx,μετά
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 2 Excerpts.docx,θρόνος
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 2 Excerpts.docx,Σωτήρ
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 2 Excerpts.docx,ἄγγελος
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 2 Excerpts.docx,ὁμοούσιος
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 2 Excerpts.docx,Θεοτόκος
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 2 Excerpts.docx,ὁμοούσιος
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 2 Excerpts.docx,Λόγος
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 2 Excerpts.docx,μόνος
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 2 Excerpts.docx,Θεός
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 2 Excerpts.docx,ἀληθινός
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 2 Excerpts.docx,τριθεΐα
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 2 Excerpts.docx,Oύσία
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 2 Excerpts.docx,Ύπόστασις
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 2 Excerpts.docx,διθεΐα
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 2 Excerpts.docx,τριθεΐα
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 2 Excerpts.docx,Ύπόστασις
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 2 Excerpts.docx,Πρόσωπον
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 2 Excerpts.docx,Πρόσωπα
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 2 Excerpts.docx,διθεΐα
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 2 Excerpts.docx,τριθεΐα
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 2 Excerpts.docx,τριθεΐα
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 2 Excerpts.docx,τριθεΐα
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 2 Excerpts.docx,ὁμοούσιος
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 2 Excerpts.docx,Νέα
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 2 Excerpts.docx,Ῥώμη
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 2 Excerpts.docx,Áνάστασις
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 2 Excerpts.docx,τοῦ
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 2 Excerpts.docx,Ἰησοῦ
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 5 Excerpts.docx,Ό
